,Date,Qual_wind,Wind_max,Wind_avg,Qual_precep,Precepitation,Type_of_Precipitation,sunshine_hours,snow_height,Coverage_avg,Vapour_p_avg,Air_p_avg,Temp_avg,Rel_Humid_avg,Temp_max_2m,Temp_min_2m,Temp_min_gnd
14245,1991-01-01,10,11.5,4.5,10,7.1,6,3.7,0,4.7,7.0,1010.8,4.8,82.0,6.8,2.4,1.1
14246,1991-01-02,10,22.0,9.2,10,3.8,6,0.0,0,7.3,10.7,996.7,11.4,81.0,12.9,5.0,3.7
14247,1991-01-03,10,23.0,5.3,10,9.2,6,0.0,0,7.3,9.6,1001.9,8.6,85.0,13.1,7.8,7.6
14248,1991-01-04,10,15.7,6.2,10,0.4,6,4.1,0,6.3,7.9,1003.5,6.8,79.0,9.6,5.6,5.6
14249,1991-01-05,10,17.8,7.7,10,2.9,6,1.1,0,5.3,7.1,1000.4,6.6,74.0,7.6,3.9,3.1
14250,1991-01-06,10,27.4,10.1,10,0.0,0,0.9,0,5.7,6.1,996.3,6.4,63.0,7.6,4.9,4.0
14251,1991-01-07,10,13.9,5.5,10,1.9,6,1.0,0,5.3,7.7,997.0,7.1,76.0,9.4,5.5,4.4
14252,1991-01-08,10,14.8,5.9,10,5.6,6,2.9,0,8.0,8.2,999.0,8.9,74.0,10.1,4.6,4.1
14253,1991-01-09,10,25.9,7.2,10,2.0,6,2.1,0,5.7,8.3,999.8,9.0,73.0,12.1,6.4,5.6
14254,1991-01-10,10,22.0,9.1,10,4.0,6,0.0,0,8.0,9.3,999.1,10.5,70.0,14.7,8.7,8.5
14255,1991-01-11,10,18.5,6.4,10,0.9,6,0.0,0,6.7,8.1,1007.4,8.1,74.0,9.3,5.8,6.4
14256,1991-01-12,10,9.5,3.5,10,1.6,6,0.5,0,6.7,7.7,1016.5,5.0,88.0,7.4,4.5,3.2
14257,1991-01-13,10,7.9,2.1,10,0.0,0,5.3,0,2.0,6.0,1028.3,1.8,85.0,5.1,0.2,-1.2
14258,1991-01-14,10,15.3,5.7,10,0.0,0,7.3,0,0.3,4.6,1029.3,0.6,71.0,3.2,-1.4,-4.5
14259,1991-01-15,10,11.7,4.1,10,0.0,0,7.4,0,0.0,2.9,1024.9,0.0,47.0,4.1,-2.8,-4.5
14260,1991-01-16,10,11.1,3.7,10,0.0,0,7.5,0,0.0,2.7,1022.7,0.4,43.0,3.5,-6.0,-9.5
14261,1991-01-17,10,12.3,5.1,10,0.0,0,7.2,0,0.0,3.7,1024.1,2.0,51.0,5.3,-0.3,-4.0
14262,1991-01-18,10,13.4,4.9,10,0.0,0,7.3,0,0.0,3.6,1025.4,1.6,53.0,5.9,-0.4,-2.4
14263,1991-01-19,10,14.1,4.9,10,3.7,8,0.0,0,7.3,5.9,1023.8,1.8,86.0,2.6,0.1,-1.4
14264,1991-01-20,10,8.0,3.5,10,2.8,6,4.0,0,7.7,6.2,1031.1,2.6,86.0,4.5,0.4,0.0
14265,1991-01-21,10,9.1,3.6,10,0.7,6,0.0,0,7.7,7.5,1025.7,4.8,86.0,6.5,2.4,1.9
14266,1991-01-22,10,6.5,2.4,10,0.0,0,0.5,0,5.0,6.8,1032.8,2.5,90.0,5.6,-0.3,1.8
14267,1991-01-23,10,3.6,1.4,10,0.0,0,0.0,0,7.7,5.8,1033.3,0.1,93.0,1.6,-2.1,-4.3
14268,1991-01-24,10,6.5,1.9,10,0.0,0,0.0,0,5.3,5.1,1032.1,-0.6,84.0,1.6,-2.0,-0.2
14269,1991-01-25,10,4.3,1.3,10,0.0,0,0.2,0,6.0,5.6,1030.2,1.0,84.0,3.0,-3.5,-5.2
14270,1991-01-26,10,6.2,0.7,10,0.0,6,0.0,0,8.0,5.8,1028.3,1.0,89.0,2.4,-2.6,-5.0
14271,1991-01-27,10,6.5,1.0,10,0.0,0,0.0,0,8.0,5.7,1029.5,3.1,75.0,4.0,1.3,0.5
14272,1991-01-28,10,6.0,2.2,10,0.0,0,4.1,0,3.3,5.2,1026.8,0.8,78.0,3.8,-1.4,1.7
14273,1991-01-29,10,6.1,1.4,10,0.0,0,6.5,0,0.0,4.6,1022.6,-0.1,76.0,5.7,-5.6,-7.5
14274,1991-01-30,10,10.6,3.5,10,0.0,0,0.0,0,3.7,4.4,1020.7,0.7,67.0,2.7,-2.1,-5.3
14275,1991-01-31,10,9.4,3.2,10,0.0,0,7.5,0,0.0,3.4,1021.8,0.1,55.0,3.3,-4.0,-7.2
14276,1991-02-01,10,9.3,2.6,10,0.0,0,8.0,0,0.3,2.6,1022.3,-3.0,53.0,1.9,-4.7,-8.1
14277,1991-02-02,10,7.4,1.1,10,0.0,0,7.6,0,0.7,2.7,1024.1,-4.1,60.0,0.9,-7.9,-11.0
14278,1991-02-03,10,4.7,0.9,10,0.0,0,5.1,0,1.0,3.0,1023.9,-4.2,70.0,0.8,-9.9,-12.3
14279,1991-02-04,10,10.6,2.2,10,0.0,0,7.2,0,0.0,3.3,1028.9,-3.2,71.0,1.7,-8.6,-11.0
14280,1991-02-05,10,16.3,3.8,10,0.1,7,7.2,0,5.7,4.0,1026.5,-0.4,68.0,0.5,-4.1,-6.6
14281,1991-02-06,10,13.2,5.6,10,0.0,7,5.5,1,0.0,2.0,1023.6,-10.5,71.0,0.0,-11.5,-10.1
14282,1991-02-07,10,11.2,5.0,10,0.0,0,0.2,0,6.0,2.7,1011.2,-6.6,73.0,-4.0,-12.3,-13.4
14283,1991-02-08,10,12.3,4.3,10,1.0,7,0.0,0,5.7,3.2,1002.1,-5.4,75.0,-2.6,-7.8,-8.9
14284,1991-02-09,10,8.0,2.5,10,0.0,0,4.4,2,3.3,3.1,1001.6,-5.2,73.0,-2.0,-10.4,-13.5
14285,1991-02-10,10,7.1,1.7,10,1.8,7,0.0,1,6.7,3.8,1005.3,-3.2,80.0,-1.0,-8.1,-12.2
14286,1991-02-11,10,7.0,3.4,10,3.2,7,0.0,3,8.0,4.9,1006.3,-2.2,95.0,-0.6,-4.0,-4.0
14287,1991-02-12,10,5.3,1.8,10,3.0,7,0.0,7,8.0,4.7,1011.0,-2.6,95.0,-1.7,-4.6,-4.8
14288,1991-02-13,10,10.1,2.2,10,0.4,7,0.8,7,4.7,4.2,1013.9,-3.6,87.0,-0.3,-8.3,-10.0
14289,1991-02-14,10,6.4,1.7,10,1.3,7,0.8,7,7.7,4.9,1014.3,-1.6,92.0,-0.2,-9.2,-16.8
14290,1991-02-15,10,15.1,5.9,10,15.2,8,0.0,8,7.7,5.9,996.1,0.8,94.0,1.9,-1.3,-2.0
14291,1991-02-16,10,10.2,2.8,10,0.3,8,0.4,12,7.0,5.4,996.7,1.5,79.0,2.4,0.6,0.4
14292,1991-02-17,10,4.2,1.2,10,0.0,0,6.9,6,3.3,4.7,1006.0,-0.2,77.0,2.7,-1.6,-0.8
14293,1991-02-18,10,5.5,1.6,10,0.0,0,5.1,5,4.0,4.6,1010.3,-0.8,79.0,4.9,-4.4,-6.6
14294,1991-02-19,10,8.2,1.7,10,0.0,0,3.4,4,4.7,5.2,1010.3,3.2,69.0,7.2,-4.1,-7.8
14295,1991-02-20,10,6.1,2.2,10,0.0,0,4.1,4,3.0,6.5,1007.1,2.5,87.0,6.2,1.5,-0.3
14296,1991-02-21,10,11.3,3.5,10,1.4,6,7.0,4,3.7,7.3,1003.3,7.7,71.0,12.3,-0.2,-1.5
14297,1991-02-22,10,12.6,5.8,10,0.0,6,6.4,0,4.7,6.9,1011.6,6.8,71.0,9.3,3.5,2.5
14298,1991-02-23,10,13.5,6.7,10,0.0,6,0.0,0,8.0,9.4,1017.1,9.8,79.0,10.5,6.6,5.3
14299,1991-02-24,10,12.0,4.6,10,0.2,6,8.9,0,1.7,8.3,1019.5,11.0,66.0,16.6,5.6,3.8
14300,1991-02-25,10,5.1,1.4,10,0.2,6,0.0,0,8.0,10.0,1020.2,7.9,94.0,11.1,7.1,6.0
14301,1991-02-26,10,7.0,2.1,10,0.0,0,6.8,0,2.7,8.0,1017.3,8.0,76.0,15.0,1.8,-1.9
14302,1991-02-27,10,9.1,2.4,10,0.0,0,7.0,0,4.0,6.5,1011.8,5.6,72.0,11.1,-0.3,-1.4
14303,1991-02-28,10,11.3,4.5,10,0.3,6,0.0,0,8.0,5.7,1005.4,3.8,72.0,5.0,2.4,0.4
14304,1991-03-01,10,4.9,1.5,10,0.7,6,1.3,0,4.3,6.1,1006.9,4.8,73.0,9.2,-1.0,-3.0
14305,1991-03-02,10,7.9,3.8,10,0.2,6,0.3,0,7.0,8.0,1008.5,6.2,86.0,7.8,2.8,0.1
14306,1991-03-03,10,11.0,3.8,10,0.0,0,8.6,0,3.0,7.4,1019.8,8.5,69.0,13.0,4.8,3.6
14307,1991-03-04,10,12.9,4.1,10,0.5,6,6.2,0,5.3,7.4,1018.0,7.5,74.0,12.1,1.3,-2.4
14308,1991-03-05,10,11.9,5.8,10,0.6,6,0.0,0,7.0,9.5,1005.0,9.6,81.0,11.2,6.8,5.9
14309,1991-03-06,10,11.8,5.2,10,0.1,6,2.7,0,7.0,9.6,995.4,12.7,67.0,16.4,9.7,8.2
14310,1991-03-07,10,12.0,4.2,10,0.0,6,1.7,0,5.0,9.5,991.2,13.0,63.0,15.7,11.5,9.8
14311,1991-03-08,10,10.4,2.6,10,0.0,0,0.3,0,7.0,9.1,989.7,13.6,59.0,15.8,9.6,5.6
14312,1991-03-09,10,8.0,1.6,10,0.0,0,0.0,0,7.3,10.5,995.0,10.8,80.0,14.5,7.8,5.8
